Artist Name,Artist ID,Genres
Clean Bandit,6MDME20pz9RveH9rEXvrOM,"['pop', 'uk dance', 'uk funky']"
Jess Glynne,4ScCswdRlyA23odg9thgIO,"['dance pop', 'pop', 'uk pop']"
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop']
Zedd,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']"
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']"
Jaden,0xOeVMOz2fVg5BJY3N6akT,"['pop rap', 'rap']"
Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']"
Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop']
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
blackbear,2cFrymmkijnjDg9SS92EPM,['pop']
NOTD,5jAMCwdNHWr7JThxtMuEyy,"['pop dance', 'pop edm']"
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,"['edm', 'german dance', 'pop dance', 'tropical house']"
Captain Cuts,0rlKkLkpsCnJbZethGBfAk,['pop edm']
Georgia Ku,5mYakBbBzPMQTfkVMIgiDM,['uk pop']
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop']
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']"
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"['dance pop', 'pop']"
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']"
DaBaby,4r63FhuTkUYltbVAg5TQnk,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
Diplo,5fMUXHkw8R8eOP2RNVYEZX,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']"
The Script,3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'pop']"
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,['pop']
MKTO,2l35CQqtYRh3d8ZIiBep4v,"['pop', 'post-teen pop']"
Marc E. Bassy,3tQx1LPXbsYjE9VwN1Peaa,['indie pop rap']
G-Eazy,02kJSzxNuaWGqwubyUba0Z,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'pop', 'rock']"
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
21 Savage,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'hip hop', 'rap']"
Morray,44vREmJC0OlVZjZaGLqVEd,['pop rap']
Khalid,6LuN9FCkKOj5PcnpouEgny,"['pop', 'pop r&b']"
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,"['australian pop', 'pop', 'viral pop']"
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,"['alt z', 'pop', 'pov: indie']"
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"['brooklyn drill', 'rap']"
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'hip hop', 'rap']"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Pusha T,0ONHkAv9pCAFxb0zJwDNTy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
2 Chainz,17lzZA2AlOHwCwFALHttmp,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
LISA,5L1lO4eRHmJ7a0Q6csE5cT,['k-pop']
Joji,3MZsBdqDrRTJihTHQrO6Dq,['viral pop']
Ansel Elgort,59mjRp0i1B8oWSSMmGWJlJ,"['post-teen pop', 'teen pop']"
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['modern rock', 'pop']"
Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']"
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"['art pop', 'pop']"
Sia,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'pop']"
Selena Gomez & The Scene,6dJeKm76NjfXBNTpHmOhfO,['pop']
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,"['art pop', 'dance pop', 'pop']"
Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['pop', 'r&b']"
Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"['alternative pop rock', 'pov: indie']"
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']"
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['chicago rap', 'melodic rap', 'rap']"
Tessa Violet,5DD5GZd4ElmQTy9NleMvKJ,"['alt z', 'indie pop', 'pov: indie']"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,"['hip hop', 'rap', 'slap house']"
Young Thug,50co4Is1HCEo8bhOyUWKpn,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop']
Kesha,6LqNN22kT3074XbTVUrhzX,"['dance pop', 'pop']"
Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,"['alternative r&b', 'trap queen']"
Sofia Carson,7bp2lSdh12wcA8LyB1srfJ,['pop']
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['hip pop', 'pop']"
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,['pop']
MIKA,5MmVJVhhYKQ86izuGHzJYA,['electropop']
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['permanent wave', 'pop']"
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,"['dance pop', 'pop', 'talent show']"
Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Pitbull,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'miami hip hop', 'pop']"
Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,"['classic oklahoma country', 'contemporary country', 'country', 'country dawn', 'dance pop', 'pop']"
James Hype,43BxCL6t4c73BQnIJtry5v,"['deep groove house', 'house', 'pop dance', 'uk dance']"
Miggy Dela Rosa,45ruzGUmIr8WLjLOPJ9mGU,"['dance pop', 'pop dance']"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['barbadian pop', 'pop', 'urban contemporary']"
Hannah Montana,7nU4hB040gTmHm45YYMvqc,"['pop', 'post-teen pop']"
Iyaz,5tKXB9uuebKE34yowVaU3C,"['dance pop', 'pop rap', 'post-teen pop']"
One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['pop', 'post-teen pop']"
Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['pop', 'post-teen pop']"
John Newman,34v5MVKeQnIo0CWYMbbrPf,['dance pop']
